CustomerID,City,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason,tenure_bin,monthly_bin,cltv_bin
3668-QPYBK,Los Angeles,Male,0,0,0,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,86,3239,Competitor made better offer,0-6,"(35.588, 70.35]","(3178.2, 4195.4]"
9237-HQITU,Los Angeles,Female,0,0,1,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,67,2701,Moved,0-6,"(70.35, 89.862]","(2002.999, 3178.2]"
9305-CDSKC,Los Angeles,Female,0,0,1,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,86,5372,Moved,7-12,"(89.862, 118.75]","(4882.6, 5540.8]"
7892-POOKP,Los Angeles,Female,0,1,1,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,84,5003,Moved,25-48,"(89.862, 118.75]","(4882.6, 5540.8]"
0280-XJGEX,Los Angeles,Male,0,0,1,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,89,5340,Competitor had better devices,49+,"(89.862, 118.75]","(4882.6, 5540.8]"
4190-MFLUW,Los Angeles,Female,0,1,0,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,78,5925,Competitor offered higher download speeds,7-12,"(35.588, 70.35]","(5540.8, 6500.0]"
8779-QRDMV,Los Angeles,Male,1,0,0,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,100,5433,Competitor offered more data,0-6,"(35.588, 70.35]","(4882.6, 5540.8]"
1066-JKSGK,Los Angeles,Male,0,0,0,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,92,4832,Competitor made better offer,0-6,"(18.249, 35.588]","(4195.4, 4882.6]"
6467-CHFZW,Los Angeles,Male,0,1,1,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,77,5789,Competitor had better devices,25-48,"(89.862, 118.75]","(5540.8, 6500.0]"
8665-UTDHZ,Los Angeles,Male,0,1,0,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,97,2915,Competitor had better devices,0-6,"(18.249, 35.588]","(2002.999, 3178.2]"
8773-HHUOZ,Los Angeles,Female,0,0,0,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,74,3022,Competitor offered higher download speeds,13-24,"(35.588, 70.35]","(2002.999, 3178.2]"
6047-YHPVI,Los Angeles,Male,0,0,1,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,66,2454,Competitor offered higher download speeds,0-6,"(35.588, 70.35]","(2002.999, 3178.2]"
5380-WJKOV,Los Angeles,Male,0,0,1,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,65,2941,Competitor offered higher download speeds,25-48,"(89.862, 118.75]","(2002.999, 3178.2]"
8168-UQWWF,Los Angeles,Female,0,0,1,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,70,5674,Competitor offered more data,7-12,"(89.862, 118.75]","(5540.8, 6500.0]"
7760-OYPDY,Los Angeles,Female,0,0,1,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,90,5586,Competitor offered more data,0-6,"(70.35, 89.862]","(5540.8, 6500.0]"
9420-LOJKX,Los Angeles,Female,0,0,1,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,82,2966,Competitor offered more data,13-24,"(89.862, 118.75]","(2002.999, 3178.2]"
7495-OOKFY,Los Angeles,Female,1,1,1,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,69,5302,Competitor made better offer,7-12,"(70.35, 89.862]","(4882.6, 5540.8]"
1658-BYGOY,Los Angeles,Male,1,0,1,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,81,3179,Competitor made better offer,13-24,"(89.862, 118.75]","(3178.2, 4195.4]"
5698-BQJOH,Beverly Hills,Female,0,0,1,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,1,96,5571,Price too high,7-12,"(89.862, 118.75]","(5540.8, 6500.0]"
5919-TMRGD,Huntington Park,Female,0,0,1,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1,87,2483,Product dissatisfaction,0-6,"(70.35, 89.862]","(2002.999, 3178.2]"
9191-MYQKX,Lynwood,Female,0,1,1,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,70,3457,Service dissatisfaction,7-12,"(70.35, 89.862]","(3178.2, 4195.4]"
8637-XJIVR,Marina Del Rey,Female,0,0,1,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1,86,5806,Lack of self-service on Website,7-12,"(70.35, 89.862]","(5540.8, 6500.0]"
